vehiclecount,updatetime,id,totalspaces,garagecode,streamdate,streamtime,day
332,19:52.1,51,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,19:52.1,52,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
167,19:52.1,53,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
162,19:52.1,54,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
60,19:52.1,55,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
180,19:52.1,56,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,49:54.0,57,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,49:54.0,58,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
321,49:54.0,59,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,49:54.0,60,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
166,49:54.0,61,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
150,49:54.0,62,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
55,49:54.0,63,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
161,49:54.0,64,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,31:45.5,65,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,31:45.5,66,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
269,31:45.5,67,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,31:45.5,68,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
138,31:45.5,69,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
100,31:45.5,70,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
38,31:45.5,71,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
79,31:45.5,72,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,01:45.6,73,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,01:45.6,74,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
260,01:45.6,75,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,01:45.6,76,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
136,01:45.6,77,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
91,01:45.6,78,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
34,01:45.6,79,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
69,01:45.6,80,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,37:52.1,81,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,37:52.1,82,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
245,37:52.1,83,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,37:52.1,84,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
136,37:52.1,85,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
87,37:52.1,86,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
33,37:52.1,87,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
66,37:52.1,88,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,26:29.4,89,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,26:29.4,90,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
588,26:29.4,91,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,26:29.4,92,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
78,26:29.4,93,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
132,26:29.4,94,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
74,26:29.4,95,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
158,26:29.4,96,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,57:48.6,97,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,57:48.6,98,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
948,57:48.6,99,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,57:48.6,100,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
103,57:48.6,101,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
225,57:48.6,102,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
97,57:48.6,103,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
324,57:48.6,104,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,27:48.7,105,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,27:48.7,106,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
949,27:48.7,107,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,27:48.7,108,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
105,27:48.7,109,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
268,27:48.7,110,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
106,27:48.7,111,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
394,27:48.7,112,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,57:48.7,113,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,57:48.7,114,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
969,57:48.7,115,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,57:48.7,116,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
120,57:48.7,117,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
310,57:48.7,118,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
110,57:48.7,119,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
445,57:48.7,120,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,27:48.8,121,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,27:48.8,122,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
992,27:48.8,123,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,27:48.8,124,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
133,27:48.8,125,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
338,27:48.8,126,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
100,27:48.8,127,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
517,27:48.8,128,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,10:48.1,129,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,10:48.1,130,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
987,10:48.1,131,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,10:48.1,132,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
146,10:48.1,133,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
328,10:48.1,134,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
94,10:48.1,135,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
529,10:48.1,136,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,40:48.2,137,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,40:48.2,138,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
983,40:48.2,139,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,40:48.2,140,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
152,40:48.2,141,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
333,40:48.2,142,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
90,40:48.2,143,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
538,40:48.2,144,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,50:38.9,145,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,50:38.9,146,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
978,50:38.9,147,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,50:38.9,148,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
149,50:38.9,149,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
359,50:38.9,150,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
79,50:38.9,151,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
532,50:38.9,152,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,02:55.1,153,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,02:55.1,154,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
442,02:55.1,155,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,02:55.1,156,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
164,02:55.1,157,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
291,02:55.1,158,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
45,02:55.1,159,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
362,02:55.1,160,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,01:59.4,161,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,01:59.4,162,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
312,01:59.4,163,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,01:59.4,164,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
66,01:59.4,165,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
45,01:59.4,166,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
31,01:59.4,167,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
81,01:59.4,168,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,33:20.4,169,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,33:20.4,170,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
485,33:20.4,171,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,33:20.4,172,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
81,33:20.4,173,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
35,33:20.4,174,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
30,33:20.4,175,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
63,33:20.4,176,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:18.5,177,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:18.5,178,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
481,58:18.5,179,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:18.5,180,953,BRUUNS,11/4/2014 0:00,4:18:44,PM
85,58:18.5,181,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
35,58:18.5,182,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
30,58:18.5,183,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,58:18.5,184,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,185,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,186,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
474,28:17.7,187,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,188,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
83,28:17.7,189,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
35,28:17.7,190,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
29,28:17.7,191,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,28:17.7,192,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,193,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,194,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
235,58:17.7,195,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,196,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
78,58:17.7,197,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
35,58:17.7,198,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
27,58:17.7,199,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,58:17.7,200,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.6,201,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.6,202,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
217,28:17.6,203,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.6,204,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
76,28:17.6,205,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
33,28:17.6,206,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
27,28:17.6,207,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,28:17.6,208,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,209,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,210,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
214,58:17.7,211,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,212,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
76,58:17.7,213,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
32,58:17.7,214,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.7,215,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
60,58:17.7,216,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,217,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,218,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
212,28:17.7,219,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,220,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
75,28:17.7,221,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
32,28:17.7,222,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.7,223,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,28:17.7,224,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.6,225,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.6,226,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
207,58:17.6,227,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.6,228,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
73,58:17.6,229,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,58:17.6,230,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.6,231,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
60,58:17.6,232,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,233,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,234,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
206,28:17.7,235,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,236,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
71,28:17.7,237,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,28:17.7,238,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.7,239,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
60,28:17.7,240,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,241,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,242,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
204,58:17.7,243,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,244,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
71,58:17.7,245,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,58:17.7,246,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.7,247,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,58:17.7,248,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.6,249,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.6,250,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
202,28:17.6,251,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.6,252,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
71,28:17.6,253,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,28:17.6,254,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.6,255,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,28:17.6,256,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.6,257,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.6,258,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
202,58:17.6,259,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.6,260,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
71,58:17.6,261,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,58:17.6,262,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.6,263,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
61,58:17.6,264,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.6,265,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.6,266,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
202,28:17.6,267,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.6,268,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
72,28:17.6,269,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,28:17.6,270,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.6,271,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
63,28:17.6,272,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,273,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,274,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
203,58:17.7,275,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,276,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
72,58:17.7,277,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,58:17.7,278,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.7,279,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
63,58:17.7,280,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,281,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,282,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
203,28:17.7,283,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,284,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
72,28:17.7,285,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,28:17.7,286,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.7,287,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
63,28:17.7,288,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,289,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,290,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
204,58:17.7,291,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,292,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
73,58:17.7,293,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,58:17.7,294,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.7,295,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
65,58:17.7,296,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,297,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,298,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
204,28:17.7,299,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,300,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
71,28:17.7,301,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
31,28:17.7,302,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,28:17.7,303,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
66,28:17.7,304,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,305,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,306,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
207,58:17.7,307,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.7,308,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
70,58:17.7,309,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
32,58:17.7,310,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
26,58:17.7,311,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
65,58:17.7,312,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.7,313,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.7,314,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
220,28:17.7,315,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.7,316,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
69,28:17.7,317,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
34,28:17.7,318,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
29,28:17.7,319,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
67,28:17.7,320,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.6,321,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.6,322,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
255,58:17.6,323,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,58:17.6,324,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
65,58:17.6,325,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
35,58:17.6,326,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
35,58:17.6,327,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
68,58:17.6,328,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,28:17.6,329,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,28:17.6,330,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
293,28:17.6,331,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
22,28:17.6,332,953,BRUUNS,11/3/2014 0:00,4:18:44,PM
63,28:17.6,333,130,BUSGADEHUSET,11/3/2014 0:00,4:18:44,PM
43,28:17.6,334,400,MAGASIN,11/3/2014 0:00,4:18:44,PM
40,28:17.6,335,210,KALKVAERKSVEJ,11/3/2014 0:00,4:18:44,PM
79,28:17.6,336,700,SALLING,11/3/2014 0:00,4:18:44,PM
0,58:17.7,337,65,NORREPORT,11/3/2014 0:00,4:18:44,PM
0,58:17.7,338,512,SKOLEBAKKEN,11/3/2014 0:00,4:18:44,PM
270,58:17.7,339,1240,SCANDCENTER,11/3/2014 0:00,4:18:44,PM
